,name,calories,carbo,sugars
0,100% Bran,70,5.0,6
1,100% Natural Bran,120,8.0,8
2,All-Bran,70,7.0,5
3,All-Bran with Extra Fiber,50,8.0,0
4,Almond Delight,110,14.0,8
5,Apple Cinnamon Cheerios,110,10.5,10
6,Apple Jacks,110,11.0,14
7,Basic 4,130,18.0,8
8,Bran Chex,90,15.0,6
9,Bran Flakes,90,13.0,5
10,Cap'n'Crunch,120,12.0,12
11,Cheerios,110,17.0,1
12,Cinnamon Toast Crunch,120,13.0,9
13,Clusters,110,13.0,7
14,Cocoa Puffs,110,12.0,13
15,Corn Chex,110,22.0,3
16,Corn Flakes,100,21.0,2
17,Corn Pops,110,13.0,12
18,Count Chocula,110,12.0,13
19,Cracklin' Oat Bran,110,10.0,7
20,Cream of Wheat (Quick),100,21.0,0
21,Crispix,110,21.0,3
22,Crispy Wheat & Raisins,100,11.0,10
23,Double Chex,100,18.0,5
24,Froot Loops,110,11.0,13
25,Frosted Flakes,110,14.0,11
26,Frosted Mini-Wheats,100,14.0,7
27,Fruit & Fibre Dates; Walnuts; and Oats,120,12.0,10
28,Fruitful Bran,120,14.0,12
29,Fruity Pebbles,110,13.0,12
30,Golden Crisp,100,11.0,15
31,Golden Grahams,110,15.0,9
32,Grape Nuts Flakes,100,15.0,5
33,Grape-Nuts,110,17.0,3
34,Great Grains Pecan,120,13.0,4
35,Honey Graham Ohs,120,12.0,11
36,Honey Nut Cheerios,110,11.5,10
37,Honey-comb,110,14.0,11
38,Just Right Crunchy  Nuggets,110,17.0,6
39,Just Right Fruit & Nut,140,20.0,9
40,Kix,110,21.0,3
41,Life,100,12.0,6
42,Lucky Charms,110,12.0,12
43,Maypo,100,16.0,3
44,Muesli Raisins; Dates; & Almonds,150,16.0,11
45,Muesli Raisins; Peaches; & Pecans,150,16.0,11
46,Mueslix Crispy Blend,160,17.0,13
47,Multi-Grain Cheerios,100,15.0,6
48,Nut&Honey Crunch,120,15.0,9
49,Nutri-Grain Almond-Raisin,140,21.0,7
50,Nutri-grain Wheat,90,18.0,2
51,Oatmeal Raisin Crisp,130,13.5,10
52,Post Nat. Raisin Bran,120,11.0,14
53,Product 19,100,20.0,3
54,Puffed Rice,50,13.0,0
55,Puffed Wheat,50,10.0,0
56,Quaker Oat Squares,100,14.0,6
57,Quaker Oatmeal,100,-1.0,-1
58,Raisin Bran,120,14.0,12
59,Raisin Nut Bran,100,10.5,8
60,Raisin Squares,90,15.0,6
61,Rice Chex,110,23.0,2
62,Rice Krispies,110,22.0,3
63,Shredded Wheat,80,16.0,0
64,Shredded Wheat 'n'Bran,90,19.0,0
65,Shredded Wheat spoon size,90,20.0,0
66,Smacks,110,9.0,15
67,Special K,110,16.0,3
68,Strawberry Fruit Wheats,90,15.0,5
69,Total Corn Flakes,110,21.0,3
70,Total Raisin Bran,140,15.0,14
71,Total Whole Grain,100,16.0,3
72,Triples,110,21.0,3
73,Trix,110,13.0,12
74,Wheat Chex,100,17.0,3
75,Wheaties,100,17.0,3
76,Wheaties Honey Gold,110,16.0,8
