CATEGORY,DATE,QUARTER,PDQ,X,Y,LONGITUDE,LATITUDE
Vol dans / sur véhicule à moteur,1/2/2019,jour,21,300632,5041020,-73.55334175,45.50908803
Méfait,1/3/2019,soir,13,297410.969,5032345.5,-73.59443377,45.43100412
Introduction,1/4/2019,soir,22,300112.09,5043643.099,-73.5600206,45.53268842
Vol dans / sur véhicule à moteur,1/6/2019,soir,3,271931.375,5035762,-73.92029257,45.46101337
Introduction,1/7/2019,jour,7,288836.977,5039722.907,-73.70425073,45.49724608
Vol dans / sur véhicule à moteur,1/8/2019,soir,21,300114.626,5040911.071,-73.55996202,45.50810456
Vols qualifiés,1/8/2019,jour,33,294746.899,5043433.826,-73.6287082,45.53074856
Introduction,1/10/2019,nuit,38,299253.511,5041756.077,-73.57099186,45.51570195
Vol dans / sur véhicule à moteur,1/11/2019,soir,4,281130.124,5037899.465,-73.8027727,45.48061927
Vol de véhicule à moteur,1/12/2019,soir,7,289019.485,5039926.665,-73.70192207,45.49908372
Vol de véhicule à moteur,1/14/2019,jour,33,293962.195,5043606.323,-73.63875842,45.53228899
Vol dans / sur véhicule à moteur,1/15/2019,jour,9,292278.632,5035605.691,-73.66010916,45.46026784
Vols qualifiés,1/16/2019,jour,20,298915.736,5040361.061,-73.57529844,45.50314626
Introduction,1/17/2019,jour,8,293609.938,5034174,-73.6430534,45.44740739
Vol de véhicule à moteur,1/19/2019,nuit,48,303421.793,5051673.423,-73.51766821,45.60496229
Vols qualifiés,1/20/2019,soir,38,298998.414,5041640.075,-73.57425558,45.51465605
Vol dans / sur véhicule à moteur,1/22/2019,jour,44,299068.29,5047159.442,-73.57342584,45.5643219
Introduction,1/23/2019,jour,31,294536.122,5044338.402,-73.63142569,45.53888518
Vols qualifiés,1/25/2019,soir,7,291217.962,5042354.303,-73.67385849,45.52097479
Introduction,1/27/2019,jour,13,295502.145,5033498.464,-73.61885078,45.44135631
Vols qualifiés,1/28/2019,soir,44,299107.583,5045005.02,-73.57289741,45.544936
Vol dans / sur véhicule à moteur,1/29/2019,soir,21,299702.811,5041778.579,-73.56524132,45.51590787
Vol dans / sur véhicule à moteur,1/31/2019,soir,46,300732.881,5050430.477,-73.5521289,45.59376739
Méfait,2/1/2019,jour,11,293635.41,5036479.938,-73.64278013,45.46815772
Vol dans / sur véhicule à moteur,2/3/2019,jour,38,298080.2968,5042832.373,-73.58602306,45.52537657
Introduction,2/4/2019,soir,44,299754.357,5047916.324,-73.56464482,45.57113788
Introduction,2/5/2019,soir,31,294815.698,5045368.064,-73.62786682,45.5481545
