iter	Passed	Remaining
0	142	21251
1	145	10739
2	147	7235
3	150	5481
4	152	4410
5	154	3701
6	156	3193
7	159	2830
8	162	2543
9	164	2300
10	167	2111
11	169	1952
12	172	1820
13	175	1704
14	177	1601
15	181	1516
16	183	1433
17	185	1360
18	187	1294
19	190	1239
20	192	1184
21	195	1137
22	197	1091
23	200	1051
24	204	1020
25	208	992
26	210	957
27	212	925
28	215	898
29	218	872
30	220	847
31	223	823
32	225	800
33	228	778
34	230	758
35	233	738
36	236	722
37	239	705
38	242	689
39	245	674
40	247	658
41	252	648
42	254	633
43	257	619
44	260	607
45	264	597
46	267	585
47	270	574
48	272	562
49	275	550
50	278	541
51	288	543
52	291	533
53	294	523
54	298	515
55	300	504
56	303	494
57	305	484
58	308	475
59	311	467
60	313	457
61	315	448
62	317	438
63	320	430
64	322	421
65	325	413
66	327	405
67	329	397
68	331	388
69	333	381
70	335	373
71	338	367
72	342	361
73	344	353
74	346	346
75	348	339
76	350	332
77	352	325
78	356	320
79	360	315
80	362	309
81	365	303
82	368	297
83	370	291
84	373	285
85	375	279
86	377	273
87	379	267
88	381	261
89	383	255
90	387	251
91	389	245
92	391	240
93	393	234
94	395	229
95	398	224
96	400	218
97	417	221
98	420	216
99	422	211
100	424	206
101	426	200
102	428	195
103	430	190
104	433	185
105	435	180
106	438	176
107	440	171
108	441	166
109	444	161
110	447	157
111	450	152
112	452	148
113	455	143
114	457	139
115	459	134
116	461	130
117	464	125
118	467	121
119	470	117
120	472	113
121	474	108
122	476	104
123	479	100
124	481	96
125	484	92
126	487	88
127	488	84
128	491	79
129	494	76
130	496	72
131	501	68
132	504	64
133	511	61
134	515	57
135	517	53
136	524	49
137	527	45
138	533	42
139	535	38
140	563	35
141	566	31
142	568	27
143	571	23
144	575	19
145	579	15
146	583	11
147	585	7
148	589	3
149	592	0
